Disease	genes
Anorexia nervosa	POMC
"Anorexia nervosa, association with"	"c(\EPHX2\"", \""GPR55\"")"""
Anorexia nervosa/bulimia nervosa	"c(\ESRRA\"", \""HDAC4\"")"""
"Anosmia, isolated congenital"	PROK2
Antenatal hyperechogenic kidneys	HNF1B
"Anterior segment defect, with glaucoma"	FOXC1
Anterior segment dysgenesis	"c(\COL4A1\"", \""FOXC1\"", \""FOXE3\"", \""PITX2\"")"""
Anthracycline-induced cardiotoxicity	ABCC1
"Anthrax toxin sensitivity, association with"	ANTXR2
Anti-acetylcholinesterase sensitivity	ACHE
Antibody deficiency	"c(\CD19\"", \""TNFRSF13B\"", \""TNFSF12\"")"""
"Anticentromere antibody positive systemic sclerosis, association"	AIF1
"Antiepileptic drug pharmacoresistance, association with"	SLC6A11
"Antiphospholipid syndrome, association with"	APOH
Antiplasmin alpha 2 deficiency	SERPINF2
Antithrombin deficiency	SERPINC1
"Antithrombin deficiency, type 1"	SERPINC1
Antitrypsin alpha 1 deficiency	SERPINA1
"Antitrypsin alpha 1 deficiency, partial"	SERPINA1
Antitrypsin M2 variant	SERPINA1
Antley-Bixler syndrome	POR
"Anxiety-related traits, gender-dependent, association with"	NGF
Aortic aneurysm	"c(\ACTA2\"", \""COL3A1\"", \""EFEMP2\"", \""FBN1\"", \""LRP1\"", \""MYH11\"", \""SLC2A10\"", \""TGFBR2\"", \""tgfbr2a\"")"""
"Aortic aneurysm, familial thoracic 4"	MYH11
"Aortic aneurysm, thoracic"	"c(\FBN1\"", \""TGFBR1\"", \""TGFBR2\"", \""tgfbr2a\"")"""
Aortic aneurysms & dissections with early-onset osteoarthritis	SMAD3
Aortic dilation	TGFBR3
Aortic dissections	MYLK
Aortic valve disease	NOTCH1
"Aortic valve stenosis, tricuspid, calcific"	NOTCH1
APECED	AIRE
Apert syndrome	FGFR2
"Aphakia, congenital, primary"	FOXE3
"Aphasia, progressive nonfluent"	"c(\GRN\"", \""MAPT\"")"""
"Aphasia, progressive semantic"	GRN
Apical left ventricular aneurysm	LMNA
Aplasia cutis congenita	BMS1
Aplasia of lacrimal and salivary glands	FGF10
Aplastic anaemia	"c(\TERT\"", \""TINF2\"")"""
Aplastic anaemia / myelodysplasia	SRP72
Aplastic anaemia / myelodysplastic syndrome	TERT
Aplastic anaemia / thrombocytopaenia	THPO
Aplastic anaemia & pulmonary fibrosis	TERT
Apolipoprotein A1 deficiency	APOA1
Apolipoprotein A2 deficiency	APOA2
Apolipoprotein A4 variant	APOA4
Apolipoprotein B deficiency	APOB
Apolipoprotein C1 variant	APOC1
Apolipoprotein C2 deficiency	APOC2
Apolipoprotein C3 deficiency	APOC3
Apolipoprotein C3 deficiency with apparent cardioprotection	APOC3
Apolipoprotein C3 variant	APOC3
Apolipoprotein E deficiency	APOE
"Apolipoprotein H deficiency, association with"	APOH
"Apoptosis, unable to induce, association with"	GZMB
Apparent mineralocorticoid excess	HSD11B2
"ara-C resistance, association with"	CDA
"ara-C sensitivity, association with"	CDA
Arginase deficiency	ARG1
Arginase I deficiency with hyperammonaemia	ARG1
Argininaemia	ARG1
Arginine:glycine amidinotransferase deficiency	GATM
Argininosuccinate lyase deficiency	ASL
"Argininosuccinate lyase deficiency, variant"	ASL
Argininosuccinic aciduria	ASL
Aromatase deficiency	CYP19A1
Aromatic L-amino acid decarboxylase deficiency	DDC
Arrhythmia	"c(\KCNE3\"", \""KCNJ2\"", \""KCNK17\"")"""
"Arrhythmia & myofibrillar myopathy, late-onset"	FLNC
"Arrhythmia, lidocaine-induced"	SCN5A
Arrhythmogenic cardiomyopathy	"c(\DSC2\"", \""DSG2\"", \""DSP\"", \""JUP\"", \""PKP2\"")"""
Arrhythmogenic right ventricular cardiomyopathy	"c(\CTNNA3\"", \""DES\"", \""DSC2\"", \""DSG2\"", \""LMNA\"", \""PKP2\"", \""TMEM43\"", \""TTN\"")"""
"Arrhythmogenic right ventricular cardiomyopathy, asymptomatic"	"c(\DSG2\"", \""PKP2\"")"""
Arrhythmogenic right ventricular dysplasia	"c(\PKP2\"", \""SCN5A\"")"""
Arrhythmogenic right ventricular dysplasia type 2	RYR2
Arrhythmogenic right ventricular dysplasia/cardiomyopathy	"c(\DSC2\"", \""DSG2\"", \""DSP\"", \""JUP\"", \""PKP2\"", \""RYR2\"", \""TMEM43\"")"""
ARS121-specific minichromosome retention	MCM5
"Arterial & joint calcifications, symptomatic"	NT5E
"Arterial stiffness, association with"	MMP9
Arterial tortuosity syndrome	SLC2A10
Arteriovenous fistula	RASA1
Arteriovenous malformation	RASA1
"Arthritis, isolated"	COL2A1
"Arthritis, juvenile"	PRF1
Arthrogryposis & hypoplasia	GLE1
Arthrogryposis multiplex congenita and intellectual disability	ZC4H2
Arthrogryposis multiplex congenita with axoglial defects	"c(\ADCY6\"", \""ECEL1\"", \""MYH3\"", \""RYR1\"", \""SYNE1\"", \""TTN\"")"""
Arthrogryposis multiplex congenita with ophthalmplegia	ECEL1
"Arthrogryposis, distal"	ECEL1
"Arthrogryposis, distal 2B & myosin myopathy"	MYH3
"Arthrogryposis, distal, type 1"	MYH3
"Arthrogryposis, distal, type 2A"	MYH3
"Arthrogryposis, distal, type 2B"	MYH3
"Arthrogryposis, distal, type 5"	PIEZO2
"Arthrogryposis, distal, type 5D"	ECEL1
"Arthrogryposis, renal dysfunction and cholestasis"	"c(\VIPAS39\"", \""VPS33B\"")"""
"Arylsulphatase A pseudodeficiency, association"	ARSA
Aspartylglucosaminuria	AGA
Asperger syndrome	PCDH19
Asphyxiating thoracic dystrophy	"c(\DYNC2H1\"", \""IFT172\"")"""
Asphyxiating thoracic dystrophy 2	IFT80
Asplenia syndrome	"c(\DNAH5\"", \""DNAH7\"")"""
"Asplenia, isolated congenital"	RPSA
Asthenospermia	CFTR
Asthenozoospermia	"c(\ADCY10\"", \""CATSPER1\"", \""catsper2t2\"", \""CATSPER3\"", \""CATSPER4\"", \""DNAH11\"", \""DNAH5\"", \""DNAI1\"", \""PLA2G6\"", \""SLC26A8\"")"""
"Asthenozoospermia, non-syndromic"	TEKT2
Asthma	"c(\CFTR\"", \""SERPINA1\"")"""
"Asthma and atopy, association with"	PLA2G7
"Asthma severity in males, association with"	KCNMB1
"Asthma, aspirin-intolerant, association with"	"c(\CEP68\"", \""SLC6A12\"")"""
"Asthma, aspirin-intolerant, reduced risk"	STK10
"Asthma, association with"	"c(\CD86\"", \""CYSLTR1\"", \""IL13\"", \""MAP3K1\"", \""ZPBP2\"")"""
"Asthma, atopic, association with"	"c(\IL21\"", \""IL4R\"", \""MMP9\"", \""MS4A2\"")"""
"Asthma, bronchial, association with"	CHIA
"Asthma, decreased risk, association with"	"c(\TLR6\"", \""TRPV1\"")"""
"Asthma, increased risk, association with"	"c(\GSDMA\"", \""IL4R\"")"""
"Asthma, nocturnal, association with"	ADRB2
"Asthma, predisposition to"	IRAK3
"Asthma, protection against, association with"	CHIA
"Asthma, reduced risk, association with"	IL17F
"Asthma, severe, association with"	CDHR3
Astrocytoma	TP53
Ataxia	"c(\APTX\"", \""C10orf2\"", \""PEX10\"", \""SACS\"", \""STUB1\"")"""
Ataxia & hypogonadism	STUB1
Ataxia and muscle hypotonia	COX20
Ataxia telangiectasia	ATM
Ataxia telangiectasia-like disease	MRE11A
Ataxia telangiectasia-like DNA repair disorder	PCNA
"Ataxia telangiectasia, atypical"	ATM
"Ataxia telangiectasia, late-onset variant"	ATM
"Ataxia telangiectasia, mild"	ATM
"Ataxia telangiectasia, variant"	ATM
Ataxia with cognitive impairment	MAPT
Ataxia with myoclonus	STUB1
Ataxia with neuropathy	SETX
Ataxia with vitamin E deficiency	PLTP
Ataxia-ocular apraxia	APTX
Ataxia-ocular apraxia 1	APTX
Ataxia-ocular apraxia 2	"c(\PIK3R5\"", \""SETX\"")"""
"Ataxia-ocular apraxia 2, atypical"	SETX
"Ataxia, benign hereditary chorea, hypothyroidsim, and a pituitary mass"	NKX2-1
"Ataxia, cerebellar hypoplasia"	CA8
"Ataxia, early-onset"	SACS
"Ataxia, early-onset, with ocular motor apraxia & hypoalbuminaemia"	APTX
"Ataxia, epilepsy & cataract"	POLG
"Ataxia, infantile onset with hearing loss"	C10orf2
"Ataxia, isolated vitamin E deficiency"	TTPA
"Ataxia, isolated vitamin E deficiency & retinitis pigmentosa"	TTPA
"Ataxia, late-onset"	TSEN54
"Ataxia, mental retardation and dyskinesia"	CACNA1A
"Ataxia, with vitamin E deficiency"	VLDLR
Ataxic neuropathy	POLG
Atelosteogenesis	FLNB
Atelosteogenesis 2	SLC26A2
Atelosteogenesis 2/diastrophic dysplasia	SLC26A2
Atelosteogenesis type I	FLNB
"Athabaskan brainstem dysgenesis syndrome, ABDS"	HOXA1
"Atherosclerosis, association with"	"c(\GJA4\"", \""SELE\"")"""
"Atherosclerosis, diabetes mellitus & steatosis hepatis"	LMNA
"Atherosclerosis, in males, association with"	APH1B
"Atherosclerosis, premature"	KERA
"Atherosclerosis, severity, association with"	PCSK9
"Atherosclerotic stenosis, increased severity, association with"	CXCL16
"Atherothrombotic cerebral infarction, association with"	IRAK1
Atopic asthma	FLG
"Atopic asthma, association with"	NAT2
"Atopic asthma, reduced risk, association with"	INPP4A
Atopic dermatitis	"c(\FLG\"", \""flg11\"", \""FLG2\"", \""TCHHL1\"")"""
"Atopic dermatitis, association with"	"c(\COL6A5\"", \""ORAI1\"")"""
"Atopic dermatitis, protection against"	TMEM79
"Atopic dermatitis, reduced risk, association with"	CSTA
Atopic eczema	FLG
Atopy	"c(\IL12RB2\"", \""MS4A2\"")"""
Atopy with immune deficiency & neurocognitive impairment	PGM3
"Atopy, association with"	"c(\CYSLTR1\"", \""CYSLTR2\"", \""F2RL1\"", \""IL4R\"", \""SART1\"")"""
"Atopy, increased risk, association with"	SELP
"Atopy, maternally inherited, association with"	SPINK5
"Atopy, reduced risk, association with"	IL4R
Atorvastatin sensitivity	GFM2
ATP synthase deficiency	TMEM70
Atransferrinaemia	TF
Atrial fibrillation	"c(\ABCC9\"", \""CACNA2D4\"", \""GATA4\"", \""GATA5\"", \""GATA6\"", \""GJA5\"", \""HCN4\"", \""JPH2\"", \""KCNA5\"", \""KCNE1L\"", \""KCNE3\"", \""KCNJ2\"", \""KCNK3\"", \""KCNQ1\"", \""LMNA\"", \""NKX2-5\"", \""NKX2-6\"", \""NPPA\"", \""NUP155\"", \""pitx2c\"", \""SCN2B\"", \""SCN3B\"", \""SCN4B\"", \""SCN5A\"")"""
Atrial fibrillation & slow ventricular rates	SCN10A
Atrial fibrillation and bradycardia	KCNQ1
Atrial fibrillation and pulmonary artery aneurysms	TGFB2
"Atrial fibrillation, association with"	"c(\AGTR1\"", \""KCNE4\"", \""KCNH2\"")"""
"Atrial fibrillation, early-onset"	"c(\KCNE1\"", \""SCN10A\"")"""
"Atrial fibrillation, familial"	KCNE3
"Atrial fibrillation, increased susceptibility"	"c(\PRRX1\"", \""SCN1B\"")"""
"Atrial fibrillation, lone, early-onset"	"c(\KCND3\"", \""KCNE1L\"", \""KCNE2\"", \""KCNQ1\"", \""NPPA\"", \""SCN2B\"")"""
"Atrial fibrillation, susceptibility to"	KCNQ1
Atrial septal defect	"c(\ACTC1\"", \""CYR61\"", \""GATA4\"", \""GATA5\"", \""MYH6\"", \""NEXN\"", \""NKX2-5\"", \""pitx2c\"", \""TBX20\"", \""TLL1\"")"""
Atrial septal defect and pulmonary valve stenosis	GATA4
Atrial septal defects & postaxial hexodactyly	TBX5
"Atrial septal defects, patent foramen ovale & cardiac valve defec"	TBX20
Atrial standstill	SCN5A
Atrichia	VDR
Atrichia with papular lesions	HR
Atrioventricular block	HCN4
Atrioventricular conduction block	SCN5A
Atrioventricular septal defect	"c(\NKX2-5\"", \""PTPN11\"")"""
Atrioventricular septal defect in Down syndrome	COL6A1
"Atrioventricular septal defect, association with"	creld1tv1
"Atrioventricular septal defect, Down-syndrome-associated"	"c(\COL18A1\"", \""col18a1l\"", \""COL6A1\"", \""COL6A2\"", \""COL6A3\"", \""CRELD2\"", \""FBLN2\"", \""FRZB\"", \""GATA5\"")"""
Atrioventricular septum defects	"c(\ACVR1\"", \""GATA6\"", \""NR2F2\"")"""
Atrophic macular degeneration	orf15
ATRX syndrome	ATRX
Attention deficit hyperactivity disorder	"c(\FGD1\"", \""MTNR1A\"", \""TPH1\"", \""TPH2\"")"""
Attenuated agonist-mediated receptor down-regulation and desensitization	HTR1A
Attenuated cardiomyocyte response to stimulation	PPP1R1A
Attenuated ligand activation	NR1I2
Attenuated phenotype in glaucoma	GJA1
"Atypical porphyrinogenic response to mercury, association with"	CPOX
"Atypical retinitis pigmentosa, facial dysmorphism, psychomotor developmental delays, learning disabilities & short stature"	RDH11
"Atypical rolandic epilepsy, absence epilepsy"	GRIN2A
"Atypical rolandic epilepsy, verbal dyspraxia"	GRIN2A
Atypical SCID/Omenn syndrome	"c(\RAG1\"", \""RAG2\"")"""
Atypical teratoid/rhabdoid tumours	SMARCA4
Auditory neuropathy	"c(\DFNB59\"", \""OTOF\"")"""
Auditory neuropathy spectrum disorder	"c(\DFNB59\"", \""DIAPH3\"", \""OTOF\"")"""
"Aural atresia, congenital"	TSHZ1
Auriculocondylar syndrome	"c(\EDN1\"", \""GNAI3\"", \""PLCB4\"")"""
Autism	"c(\A2M\"", \""AADACL2\"", \""ABCA12\"", \""ABCA13\"", \""ABCA2\"", \""ABCA7\"", \""ABI3BP\"", \""ADAM22\"", \""ADAM33\"", \""ADCY5\"", \""ADNP\"", \""AFF2\"", \""AGK\"", \""AGO1\"", \""AHNAK2\"", \""AMPD1\"", \""AMT\"", \""ANK2\"", \""ANK3\"", \""ANKS1A\"", \""ANO5\"", \""ANTXR1\"", \""AP3B2\"", \""APBA2\"", \""APH1A\"", \""APOC3\"", \""AREL1\"", \""ASB1\"", \""ATP1B1\"", \""ATP2B4\"", \""BCORL1\"", \""BRCA2\"", \""BRD1\"", \""C2orf42\"", \""C3\"", \""C7orf43\"", \""CACHD1\"", \""CACNA1D\"", \""CACNA1E\"", \""CAPN10\"", \""CASK\"", \""CBX4\"", \""CCAR2\"", \""CCDC14\"", \""CCDC18\"", \""CCDC90B\"", \""CD151\"", \""CDC42BPB\"", \""CDCA7L\"", \""CDH5\"", \""CDX2\"", \""CECR1\"", \""CELF6\"", \""CERS6\"", \""CHD1\"", "
"\""CHD2\"", \""CHD3\"", \""CHD7\"", \""CHD8\"", \""CHRND\"", \""CIAO1\"", \""CLTCL1\"", \""CNOT4\"", \""CPZ\"", \""CSDE1\"", \""CSMD1\"", \""CST9\"", \""CTNNB1\"", \""CUL3\"", \""CUL5\"", \""CYP4F3\"", \""DAB2\"", \""DAG1\"", \""DCAF4\"", \""DENND5A\"", \""DENR\"", \""DGCR14\"", \""DIAPH3\"", \""DICER1\"", \""DISC1\"", \""DNAH11\"", \""DNAH5\"", \""DNAH9\"", \""DNMT3A\"", \""DOC2A\"", \""DPP3\"", \""DUSP15\"", \""DUSP3\"", \""DXO\"", \""DYNAP\"", \""EBAG9\"", \""ECM2\"", \""EFR3A\"", \""EHD2\"", \""ELK1\"", \""EMC4\"", \""EPHB2\"", \""FAM205A\"", \""FAM63B\"", \""FAM8A1\"", \""FAM91A1\"", \""FAT1\"", \""FBXL6\"", \""FBXO10\"", \""FBXO18\"", \""FEZF2\"", \""FGD3\"", \""FGF22\"", \""FN1\"", \""FREM3\"", \""GAK\"", \""GNAS\"", "	
"\""GOLGA3\"", \""GPR139\"", \""GPR98\"", \""GPRIN3\"", \""GPS1\"", \""GRIN2B\"", \""GRIP1\"", \""GRM7\"", \""GRPR\"", \""GSE1\"", \""GTF2IRD1\"", \""hdgfrp2\"", \""HDLBP\"", \""HIGD2A\"", \""HIST1H2AE\"", \""HMHA1\"", \""HUWE1\"", \""IKBIP\"", \""IL20RB\"", \""IQCE\"", \""IQGAP3\"", \""ITGA5\"", \""ITSN2\"", \""JMJD1C\"", \""KANK1\"", \""KANSL2\"", \""KCNMA1\"", \""KCNS1\"", \""KIAA0100\"", \""KIAA0232\"", \""KIAA1432\"", \""KIAA1462\"", \""KIAA1549\"", \""KIRREL3\"", \""KMT2A\"", \""KMT2C\"", \""KRTAP9-3\"", \""L3MBTL1\"", \""LAMC3\"", \""LCN10\"", \""LLGL1\"", \""LRP1\"", \""LRP2\"", \""LTBP1\"", \""LY6G6F\"", \""MACC1\"", \""MADD\"", \""MANSC1\"", \""MBD1\"", \""MBD3\"", \""MBD4\"", \""MBD5\"", \""MBD6\"", "	
"\""MDM2\"", \""MDN1\"", \""MECP2\"", \""MEF2C\"", \""MEGF11\"", \""METTL14\"", \""MICALCL\"", \""MKL2\"", \""MMP8\"", \""MMRN2\"", \""MOB4\"", \""MPDZ\"", \""MPHOSPH8\"", \""MPP6\"", \""MR1\"", \""MTMR12\"", \""MTMR2\"", \""MTMR9\"", \""MYB\"", \""MYCBP2\"", \""MYH9\"", \""MYO7B\"", \""MYOF\"", \""NAV2\"", \""NCAPD2\"", \""NCKAP1\"", \""NCS1\"", \""NF1\"", \""NFIA\"", \""NISCH\"", \""NLGN1\"", \""NLGN3\"", \""NLGN4X\"", \""NLGN4Y\"", \""NLRX1\"", \""NOTCH3\"", \""NPFFR2\"", \""NR2F1\"", \""NR3C2\"", \""NR4A2\"", \""NRXN1\"", \""nrxn1b\"", \""NSUN7\"", \""NTNG1\"", \""NUAK1\"", \""OBSL1\"", \""OPRL1\"", \""OR5AC2\"", \""OR8H1\"", \""PAX6\"", \""PCDHB16\"", \""PCDHB4\"", \""PER1\"", \""PEX7\"", \""PHF3\"", \""PIAS1\"", "	
"\""PIWIL4\"", \""PLCD4\"", \""PLOD3\"", \""POLR2A\"", \""PPM1D\"", \""PPP1R15B\"", \""PPP2R1B\"", \""PRCP\"", \""PRPF39\"", \""PSEN1\"", \""PTEN\"", \""PTK7\"", \""PTPRK\"", \""PWWP2A\"", \""RAB2A\"", \""RAD21L1\"", \""RAPGEF4\"", \""RELN\"", \""REST\"", \""RFX2\"", \""RFX8\"", \""RGMA\"", \""RIMS3\"", \""ROS1\"", \""RPL10\"", \""RPS6KA3\"", \""RTF1\"", \""RTN4RL1\"", \""RUVBL1\"", \""SBF1\"", \""SCARB2\"", \""SCN1A\"", \""SCN2A\"", \""SCRIB\"", \""SCUBE2\"", \""SEMA4G\"", \""SESN2\"", \""SETBP1\"", \""SETD2\"", \""SETD5\"", \""SETDB2\"", \""setdb2i3\"", \""SGSM3\"", \""SLC17A3\"", \""SLC22A9\"", \""SLC26A5\"", \""SLC30A5\"", \""SLC39A5\"", \""SLC6A1\"", \""SLC6A13\"", \""SLC6A3\"", \""SLC9A9\"", \""SLCO1C1\"", "	
"\""SLFN5\"", \""SMARCC1\"", \""SMC3\"", \""SMCHD1\"", \""SNAPC5\"", \""SNRK\"", \""SNTG1\"", \""SOGA3\"", \""SORCS1\"", \""SPAG17\"", \""SRGAP3\"", \""STAT2\"", \""STXBP1\"", \""STXBP3\"", \""SUCLA2\"", \""SUPT16H\"", \""SUV420H1\"", \""SV2B\"", \""SVIL\"", \""SYNE1\"", \""TAS2R3\"", \""TBL1XR1\"", \""TBR1\"", \""TBX18\"", \""TCF7L1\"", \""TECTA\"", \""TET1\"", \""THSD7A\"", \""TMEM8A\"", \""TMLHE\"", \""TNKS\"", \""TOP1\"", \""TOPORS\"", \""TPK1\"", \""TRAF7\"", \""TRIO\"", \""TRIP12\"", \""TROAP\"", \""TRPM7\"", \""TRRAP\"", \""TSC2\"", \""TSPAN17\"", \""TTF2\"", \""TUBA1A\"", \""TUBGCP5\"", \""UBE3B\"", \""UBE3C\"", \""UGT2B10\"", \""UNC80\"", \""USH2A\"", \""USP46\"", \""VAV3\"", \""VPS13B\"", \""WDFY3\"", "	
"\""WDR4\"", \""WDR66\"", \""XPO5\"", \""ZBTB41\"", \""ZFP69\"", \""ZKSCAN5\"", \""ZNF213\"", \""ZNF292\"", \""ZNF311\"", \""ZNF335\"", \""ZNF420\"", \""ZNF451\"", \""ZNF638\"", \""ZNF813\"")"""	
Autism / epilepsy	SYN1
Autism & epilepsy	KCND2
Autism & mental retardation	nrxn1b
Autism and intellectual disability	TMLHE
Autism spectrum disorder	"c(\ABCA1\"", \""ACTR3C\"", \""AFF2\"", \""AHRR\"", \""AKAP13\"", \""AKAP9\"", \""ALX1\"", \""ANK3\"", \""ANKS3\"", \""AOC1\"", \""ARHGEF6\"", \""ARID5A\"", \""ARL6IP6\"", \""ARSF\"", \""ASMT\"", \""ATP11B\"", \""ATP13A4\"", \""ATP13A5\"", \""AUP1\"", \""BCORL1\"", \""BEND2\"", \""BMP2K\"", \""BPIFA3\"", \""C14orf105\"", \""C14orf2\"", \""C19orf18\"", \""C1orf168\"", \""C2CD3\"", \""CACNA1C\"", \""cacna1ct11\"", \""CACNA1H\"", \""cacnb2i4\"", \""CADM1\"", \""CADPS2\"", \""CAPRIN1\"", \""CASC4\"", \""CASK\"", \""CBFA2T2\"", \""CCDC19\"", \""CCDC85C\"", \""CCL26\"", \""CDH11\"", \""CENPBD1\"", \""CEP170B\"", \""CEP41\"", \""CFHR2\"", \""CHD7\"", \""CLCN6\"", \""CLCNKB\"", \""CNTN3\"", \""CNTN4\"", "
"\""CNTNAP2\"", \""CNTNAP3\"", \""CNTNAP5\"", \""COL7A1\"", \""COPS2\"", \""CPT1B\"", \""CREB3\"", \""CRYZL1\"", \""CT45A5\"", \""cxcr3tv2\"", \""DCAF11\"", \""DCAF13\"", \""DCAKD\"", \""DDX24\"", \""DDX47\"", \""DEFB124\"", \""DGAT2L6\"", \""DLG4\"", \""DLGAP2\"", \""DLX6\"", \""DMD\"", \""DMXL1\"", \""DNAH7\"", \""DNMT3A\"", \""DRP2\"", \""EFCAB13\"", \""EHMT1\"", \""EIF3G\"", \""EPAS1\"", \""EPB41L1\"", \""ERBB2IP\"", \""FA2H\"", \""FAAH2\"", \""FAM120B\"", \""FAM188B\"", \""FAM71A\"", \""FAM81B\"", \""FAM86B2\"", \""FAM9C\"", \""FAT3\"", \""FMN1\"", \""FOXP2\"", \""GLRA4\"", \""GNB1L\"", \""GPR112\"", \""GPR152\"", \""GPR37\"", \""GRIN2B\"", \""GTF3C2\"", \""GYG2\"", \""HAP1\"", \""HCAR1\"", \""HEPACAM2\"", "	
"\""HTR3A\"", \""IMPDH2\"", \""INPP5K\"", \""IRF9\"", \""ITGA4\"", \""ITK\"", \""ITPK1\"", \""JMJD7\"", \""KDM5C\"", \""KIAA0226\"", \""KIAA1217\"", \""KIAA1919\"", \""KIAA2022\"", \""KLHL6\"", \""KRT83\"", \""KSR2\"", \""LAMC3\"", \""LPIN1\"", \""LRGUK\"", \""LRRC29\"", \""LRRC4\"", \""LRRC41\"", \""LRRTM4\"", \""LUZP4\"", \""LYST\"", \""MACC1\"", \""MACF1\"", \""MAGEC3\"", \""MAP3K15\"", \""MAP4\"", \""MCF2\"", \""MCM9\"", \""MECP2\"", \""mecp2e1\"", \""METTL2B\"", \""MICAL3\"", \""MID1\"", \""MLLT10\"", \""MOV10\"", \""MS4A10\"", \""MXRA5\"", \""MYBBP1A\"", \""MYEF2\"", \""NAV1\"", \""NFASC\"", \""NFAT5\"", \""NIPBL\"", \""NLGN3\"", \""NOS1AP\"", \""NPEPPS\"", \""NR0B1\"", \""NRXN1\"", \""NSD1\"", \""NT5C1B\"", "	
"\""NUDT7\"", \""NXPH3\"", \""OAS3\"", \""OPHN1\"", \""OR10V1\"", \""OR13H1\"", \""OR1J1\"", \""OR2M2\"", \""OR4M2\"", \""OR8K3\"", \""OSGIN1\"", \""OTOGL\"", \""OTUD4\"", \""PDIA4\"", \""PDK4\"", \""PDZD2\"", \""PGBD4\"", \""PHF20\"", \""PIR\"", \""PLAT\"", \""PNKP\"", \""PNPLA1\"", \""PRICKLE2\"", \""PRKD1\"", \""PRTG\"", \""PTCHD1\"", \""PTCHD3\"", \""PTEN\"", \""PTH2R\"", \""PYGO1\"", \""RAB11FIP5\"", \""RAB34\"", \""RAI1\"", \""RANBP6\"", \""RELN\"", \""RIPK2\"", \""RIPK4\"", \""RNF128\"", \""SATB2\"", \""SATL1\"", \""SCN1A\"", \""SCN2A\"", \""SCN3A\"", \""SDR39U1\"", \""SEC23A\"", \""SERPINB4\"", \""SFTPD\"", \""SHANK2\"", \""SHANK3\"", \""SIPA1L1\"", \""SLC22A25\"", \""SLC25A43\"", \""SLIT3\"", \""SLK\"", "	
"\""SMYD3\"", \""SNX5\"", \""SOS1\"", \""SOX7\"", \""SPATA21\"", \""SPATA32\"", \""SPATA5L1\"", \""SPERT\"", \""SPTAN1\"", \""SPTBN5\"", \""SRPK2\"", \""STARD6\"", \""STXBP5L\"", \""SULT1C3\"", \""SUOX\"", \""SYN1\"", \""SYN2\"", \""SYNE1\"", \""TAAR2\"", \""TBC1D30\"", \""TGM4\"", \""TMC3\"", \""TMEM70\"", \""TNFSF18\"", \""TRPM1\"", \""TYK2\"", \""UBE2T\"", \""UGT2A1\"", \""UNC13B\"", \""UNC79\"", \""USH2A\"", \""USP30\"", \""VIP\"", \""VPS13B\"", \""VWA3B\"", \""WDR31\"", \""WWC3\"", \""XRN2\"", \""ZC3H12B\"", \""ZC3H14\"", \""ZCCHC16\"", \""ZFPL1\"", \""ZNF157\"", \""ZNF45\"", \""ZNF683\"", \""ZNF75D\"", \""ZNF77\"", \""ZSCAN29\"")"""	
Autism spectrum disorder & intellectual disability	NRXN1
Autism spectrum disorder and macrocephaly	PTEN
"Autism spectrum disorder, association with"	"c(\HOXA1\"", \""MBD5\"", \""WNT1\"")"""
"Autism spectrum disorder, epilepsy & arthrogryposis"	SLC35A3
"Autism spectrum disorder, increased risk"	"c(\CAMK4\"", \""GRM1\"", \""OXTR\"")"""
"Autism spectrum disorder, modifier of"	CNTNAP2
"Autism spectrum disorder, reduced risk"	CYFIP1
"Autism spectrum disorders, developmental delay and macrocephaly"	PTEN
Autism with epilepsy	BCKDK
"Autism, association with"	"c(\GLO1\"", \""HTR3C\"", \""LAMB1\"", \""NLGN4X\"", \""NRP2\"", \""SEZ6L2\"", \""SLC6A4\"", \""TAF1C\"")"""
